Experiment,Epochs,Batch Size,Learning Rate,Final Train Acc,Final Val Acc
1,5,16,0.0001,0.9883971214294434,0.9970059990882874
2,10,32,0.0001,0.9984092712402344,0.9977545142173767
3,5,64,0.0001,0.9901749491691589,0.9958832263946533
4,5,32,0.0005,0.9947599768638611,0.9966317415237427
